"성별",2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
"성별",취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명)
"계",81,993,265,728,75,988,240,748,69,1039,226,813,60,977,248,729,52,781,202,579,48,739,174,566
"남자",46,584,158,426,44,583,142,441,41,583,120,463,36,540,140,400,27,420,113,307,28,406,106,299
"여자",35,408,106,302,32,405,98,307,28,456,106,350,24,437,108,330,24,361,89,272,19,334,67,266
