"시도별","연령계층별",2018,2019,2020,2021,2022,2023
"대구광역시","계",56,47,48,47,37,39
"대구광역시","15 - 29세",22,15,15,13,12,11
"대구광역시","30 - 59세",26,25,25,23,18,18
"대구광역시","60세이상",8,7,7,11,7,11
