"행정구역별(읍면동)(1)","행정구역별(읍면동)(2)",성별(1),2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)(1)","행정구역별(읍면동)(2)",성별(1),1세 이상 인구,비이동자,총이동자,시도내이동자 - 계,시도내이동-시군구내이동자,시도내이동-시군구간이동자,시도간이동자,기타이동자,1세 이상 인구,비이동자,총이동자,시도내이동자 - 계,시도내이동-시군구내이동자,시도내이동-시군구간이동자,시도간이동자,기타이동자,1세 이상 인구,비이동자,총이동자,시도내이동자 - 계,시도내이동-시군구내이동자,시도내이동-시군구간이동자,시도간이동자,기타이동자,1세 이상 인구,비이동자,총이동자,시도내이동자 - 계,시도내이동-시군구내이동자,시도내이동-시군구간이동자,시도간이동자,기타이동자,1세 이상 인구,비이동자,총이동자,시도내이동자 - 계,시도내이동-시군구내이동자,시도내이동-시군구간이동자,시도간이동자,기타이동자
"대구광역시","북구",여자,218879,193731,25148,17694,9862,7832,6474,980,219450,194908,24542,17180,9573,7607,6296,1066,220355,191973,28382,20181,10828,9353,7094,1107,219738,196940,22798,15871,8549,7322,6327,600,217317,195376,21941,15060,8951,6109,6118,763
"대구광역시","수성구",계,410097,364971,45126,31312,17890,13422,11525,2289,406861,360519,46342,32400,17819,14581,11688,2254,405393,353483,51910,36543,19373,17170,12694,2673,401203,354651,46552,33670,18011,15659,11585,1297,395640,357253,38387,25961,13271,12690,10994,1432
"대구광역시","수성구",남자,197236,175641,21595,14854,8449,6405,5635,1106,195653,173136,22517,15610,8529,7081,5833,1074,194296,169404,24892,17419,9205,8214,6225,1248,192591,170009,22582,16138,8509,7629,5799,645,189733,171095,18638,12365,6240,6125,5567,706
"대구광역시","수성구",여자,212861,189330,23531,16458,9441,7017,5890,1183,211208,187383,23825,16790,9290,7500,5855,1180,211097,184079,27018,19124,10168,8956,6469,1425,208612,184642,23970,17532,9502,8030,5786,652,205907,186158,19749,13596,7031,6565,5427,726
"대구광역시","달서구",계,557925,499940,57985,41761,22665,19096,13500,2724,554872,495934,58938,43295,22664,20631,12405,3238,547934,484979,62955,45937,25566,20371,14293,2725,537419,488775,48644,35003,19557,15446,12093,1548,527114,476404,50710,36762,20937,15825,12137,1811
"대구광역시","달서구",남자,273444,244595,28849,20595,11021,9574,6952,1302,271435,242203,29232,21388,11119,10269,6333,1511,267803,236327,31476,22927,12582,10345,7214,1335,262730,238308,24422,17315,9624,7691,6309,798,257019,231529,25490,18244,10280,7964,6342,904
"대구광역시","달서구",여자,284481,255345,29136,21166,11644,9522,6548,1422,283437,253731,29706,21907,11545,10362,6072,1727,280131,248652,31479,23010,12984,10026,7079,1390,274689,250467,24222,17688,9933,7755,5784,750,270095,244875,25220,18518,10657,7861,5795,907
"대구광역시","달성군",계,239509,209905,29604,20464,4749,15715,8206,934,246594,219504,27090,18796,4873,13923,7370,924,250174,221409,28765,19739,6734,13005,7922,1104,254680,226139,28541,20123,7239,12884,7788,630,255359,232353,23006,15005,4529,10476,7229,772
"대구광역시","달성군",남자,120512,105499,15013,10263,2465,7798,4307,443,123932,110029,13903,9539,2543,6996,3915,449,125584,110774,14810,10080,3497,6583,4228,502,127795,113056,14739,10218,3680,6538,4200,321,127885,115939,11946,7605,2366,5239,3917,424
"대구광역시","달성군",여자,118997,104406,14591,10201,2284,7917,3899,491,122662,109475,13187,9257,2330,6927,3455,475,124590,110635,13955,9659,3237,6422,3694,602,126885,113083,13802,9905,3559,6346,3588,309,127474,116414,11060,7400,2163,5237,3312,348
