"대구광역시","계","40~44세",12438,354,221,7748,69,41,91,139,18,487,77,61,105,59,52,1750,378,53,735,11384,344,214,6871,82,28,71,151,23,434,68,74,96,38,30,1678,371,74,737,12928,350,209,7984,83,32,71,133,37,494,86,66,123,48,40,1901,416,60,795,11997,395,206,7411,61,29,68,126,24,479,74,83,116,43,42,1789,415,65,571,11784,333,200,7176,81,28,70,116,29,469,92,83,102,40,34,1830,373,75,653
"대구광역시","계","45~49세",11632,315,185,7506,68,23,49,108,19,425,62,66,92,39,44,1594,338,61,638,10936,284,158,7135,61,22,69,107,19,373,78,69,99,28,29,1431,302,55,617,11551,303,169,7257,65,22,72,110,24,367,76,66,107,44,36,1664,321,52,796,10113,233,161,6436,62,19,55,110,13,416,57,76,82,39,32,1511,314,48,449,9091,249,147,5734,50,31,48,97,12,352,62,72,84,41,32,1252,280,46,502
"대구광역시","계","50~54세",10367,281,145,6881,56,19,77,98,7,285,49,50,66,23,39,1553,271,46,421,9923,244,141,6702,46,20,46,89,9,250,55,63,77,26,33,1349,271,42,460,11485,267,142,7457,50,15,51,125,18,313,47,62,86,33,23,1644,325,47,780,10487,289,136,6955,61,19,48,94,21,331,44,55,84,35,32,1535,305,50,393,9383,253,145,6085,42,21,62,90,22,346,64,53,83,20,32,1323,245,48,449
"대구광역시","계","55~59세",9542,225,155,6438,48,16,44,85,5,237,53,46,57,28,31,1418,261,37,358,9158,204,133,6343,34,13,34,75,10,237,46,37,60,27,16,1290,216,31,352,10084,216,137,6576,54,14,52,90,16,264,46,51,58,29,25,1538,293,46,579,8725,201,108,5868,41,17,50,77,17,241,36,43,60,23,30,1322,243,40,308,7483,189,94,4853,44,13,33,75,13,228,40,52,58,25,28,1180,202,33,323
"대구광역시","계","60~64세",7154,202,114,4711,36,10,30,65,15,191,41,38,27,20,23,1119,221,36,255,7547,187,119,5138,36,9,32,58,8,187,50,43,37,22,21,1091,200,32,277,8473,193,122,5451,35,X,46,67,10,221,50,38,51,23,27,1337,248,37,513,7954,190,106,5317,33,5,31,78,9,249,35,51,37,21,20,1267,232,28,245,6636,182,84,4291,28,8,34,71,11,191,51,35,44,28,23,1066,204,20,265
"대구광역시","계","65~69세",4713,122,69,3196,16,X,21,41,9,159,25,21,23,8,11,710,125,15,139,4942,124,52,3505,23,X,18,30,7,127,17,19,22,14,11,700,113,18,140,5726,138,82,3773,29,X,24,38,17,168,21,26,39,8,12,871,142,29,305,5502,126,87,3781,15,X,20,48,10,154,29,23,21,22,12,856,155,23,118,4830,136,77,3180,16,X,16,41,12,139,28,24,29,10,13,784,144,21,158
"대구광역시","계","70~74세",3093,81,42,2163,14,X,11,21,X,116,16,5,16,8,6,429,86,8,67,3268,83,34,2389,12,X,16,12,10,101,11,13,7,5,8,425,76,6,59,3684,95,46,2516,18,X,16,21,7,100,18,14,15,9,9,578,94,10,114,3536,88,46,2449,15,X,14,19,5,117,13,19,14,7,10,570,84,15,50,3019,88,52,2004,8,X,8,19,13,111,13,9,16,5,6,502,80,10,71
"대구광역시","계","75세 이상",7983,187,101,5111,38,7,40,79,7,207,36,41,35,19,21,1649,268,13,124,7630,152,111,5039,22,X,25,44,10,185,44,37,37,22,20,1504,272,12,90,8911,208,121,5720,40,9,28,62,6,229,45,37,49,18,27,1775,297,12,228,8115,173,104,5327,24,8,20,45,11,211,43,46,30,22,13,1685,256,12,85,6935,156,91,4480,24,6,17,45,6,212,40,23,29,17,16,1448,206,16,103
"대구광역시","남자","합계",90205,3111,2003,49879,694,281,795,1488,148,3521,684,624,829,372,420,16227,3656,345,5128,85829,2884,1818,47576,551,241,671,1383,178,3439,660,649,813,349,353,15124,3471,389,5280,95418,3000,2005,52873,604,268,675,1509,201,3576,675,649,834,399,427,17661,3862,391,5809,84516,3029,1929,47293,519,236,650,1305,182,3642,589,771,813,373,343,15601,3642,383,3216,80778,2832,2087,43765,585,256,618,1373,182,3451,645,668,795,369,399,15152,3496,412,3693
"대구광역시","남자","1~4세",4352,95,57,2621,32,12,26,56,10,168,35,25,35,14,14,766,152,13,221,3345,80,45,1897,28,12,24,61,9,147,27,28,23,15,14,617,133,14,171,3360,58,49,2074,19,13,20,38,8,107,22,16,19,8,15,603,127,16,148,2803,55,41,1717,15,10,15,21,6,108,21,17,24,13,6,475,122,17,120,2787,49,48,1644,24,5,13,31,10,109,22,21,26,11,16,477,82,9,190
