"지역별(시/군/구)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","A.농업, 임업 및 어업(01~03)","10~29인","총종사자수_여자[명]","명","1","6","5","16","7",
"대구광역시","A.농업, 임업 및 어업(01~03)","30~49인","사업체수[개]","개","0","0","1","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","30~49인","총종사자수_계[명]","명","0","0","36","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","30~49인","총종사자수_남자[명]","명","0","0","26","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","30~49인","총종사자수_여자[명]","명","0","0","10","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","50~99인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","50~99인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","50~99인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","50~99인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","100~199인","사업체수[개]","개","2","2","2","2","2",
"대구광역시","A.농업, 임업 및 어업(01~03)","100~199인","총종사자수_계[명]","명","254","349","279","255","260",
"대구광역시","A.농업, 임업 및 어업(01~03)","100~199인","총종사자수_남자[명]","명","221","305","238","220","228",
"대구광역시","A.농업, 임업 및 어업(01~03)","100~199인","총종사자수_여자[명]","명","33","44","41","35","32",
"대구광역시","A.농업, 임업 및 어업(01~03)","200~299인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","200~299인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","200~299인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","200~299인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","300~499인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","300~499인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","300~499인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","300~499인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","500~999인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","500~999인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","500~999인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","500~999인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","1000인이상","사업체수[개]","개","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","1000인이상","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","1000인이상","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","1000인이상","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","전규모","사업체수[개]","개","6","6","6","4","5",
"대구광역시","B.광업(05~08)","전규모","총종사자수_계[명]","명","36","35","39","15","15",
"대구광역시","B.광업(05~08)","전규모","총종사자수_남자[명]","명","25","30","29","5","13",
"대구광역시","B.광업(05~08)","전규모","총종사자수_여자[명]","명","11","5","10","10","2",
"대구광역시","B.광업(05~08)","1~4인","사업체수[개]","개","3","4","3","3","4",
"대구광역시","B.광업(05~08)","1~4인","총종사자수_계[명]","명","6","13","8","4","5",
"대구광역시","B.광업(05~08)","1~4인","총종사자수_남자[명]","명","5","13","7","3","4",
"대구광역시","B.광업(05~08)","1~4인","총종사자수_여자[명]","명","1","0","1","1","1",
"대구광역시","B.광업(05~08)","5~9인","사업체수[개]","개","1","0","1","0","0",
"대구광역시","B.광업(05~08)","5~9인","총종사자수_계[명]","명","6","0","8","0","0",
"대구광역시","B.광업(05~08)","5~9인","총종사자수_남자[명]","명","1","0","7","0","0",
"대구광역시","B.광업(05~08)","5~9인","총종사자수_여자[명]","명","5","0","1","0","0",
"대구광역시","B.광업(05~08)","10~29인","사업체수[개]","개","2","2","2","1","1",
"대구광역시","B.광업(05~08)","10~29인","총종사자수_계[명]","명","24","22","23","11","10",
"대구광역시","B.광업(05~08)","10~29인","총종사자수_남자[명]","명","19","17","15","2","9",
"대구광역시","B.광업(05~08)","10~29인","총종사자수_여자[명]","명","5","5","8","9","1",
"대구광역시","B.광업(05~08)","30~49인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","30~49인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","30~49인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","30~49인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","50~99인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","50~99인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","50~99인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","50~99인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","100~199인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","100~199인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","100~199인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","100~199인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","200~299인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","200~299인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","200~299인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","200~299인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","300~499인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","300~499인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","300~499인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","300~499인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","500~999인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","사업체수[개]","개","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","B.광업(05~08)","1000인이상","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","C.제조업(10~34)","전규모","사업체수[개]","개","16063","16005","14715","15045","14952",
"대구광역시","C.제조업(10~34)","전규모","총종사자수_계[명]","명","162339","160371","145504","146811","148329",
"대구광역시","C.제조업(10~34)","전규모","총종사자수_남자[명]","명","115458","114265","104633","105495","106450",
"대구광역시","C.제조업(10~34)","전규모","총종사자수_여자[명]","명","46881","46106","40871","41316","41879",
"대구광역시","C.제조업(10~34)","1~4인","사업체수[개]","개","8229","8166","7887","8352","8279",
"대구광역시","C.제조업(10~34)","1~4인","총종사자수_계[명]","명","24309","23678","21534","22465","22539",
"대구광역시","C.제조업(10~34)","1~4인","총종사자수_남자[명]","명","17049","16350","15413","16074","16150",
"대구광역시","C.제조업(10~34)","1~4인","총종사자수_여자[명]","명","7260","7328","6121","6391","6389",
"대구광역시","C.제조업(10~34)","5~9인","사업체수[개]","개","4526","4562","3580","3393","3361",
"대구광역시","C.제조업(10~34)","5~9인","총종사자수_계[명]","명","30302","31098","23082","21343","21183",
"대구광역시","C.제조업(10~34)","5~9인","총종사자수_남자[명]","명","20693","21527","15631","14525","14266",
"대구광역시","C.제조업(10~34)","5~9인","총종사자수_여자[명]","명","9609","9571","7451","6818","6917",
"대구광역시","C.제조업(10~34)","10~29인","사업체수[개]","개","2401","2382","2431","2490","2483",
"대구광역시","C.제조업(10~34)","10~29인","총종사자수_계[명]","명","38275","37655","37872","38543","38591",
"대구광역시","C.제조업(10~34)","10~29인","총종사자수_남자[명]","명","26157","26017","26082","26522","26413",
"대구광역시","C.제조업(10~34)","10~29인","총종사자수_여자[명]","명","12118","11638","11790","12021","12178",
"대구광역시","C.제조업(10~34)","30~49인","사업체수[개]","개","461","464","422","411","436",
"대구광역시","C.제조업(10~34)","30~49인","총종사자수_계[명]","명","17357","17589","15904","15593","16360",
"대구광역시","C.제조업(10~34)","30~49인","총종사자수_남자[명]","명","12406","12418","11474","11255","11972",
"대구광역시","C.제조업(10~34)","30~49인","총종사자수_여자[명]","명","4951","5171","4430","4338","4388",
"대구광역시","C.제조업(10~34)","50~99인","사업체수[개]","개","299","291","263","263","255",
"대구광역시","C.제조업(10~34)","50~99인","총종사자수_계[명]","명","20450","20096","18014","17882","17588",
"대구광역시","C.제조업(10~34)","50~99인","총종사자수_남자[명]","명","14195","14026","12587","12719","12548",
"대구광역시","C.제조업(10~34)","50~99인","총종사자수_여자[명]","명","6255","6070","5427","5163","5040",
"대구광역시","C.제조업(10~34)","100~199인","사업체수[개]","개","102","94","87","87","85",
"대구광역시","C.제조업(10~34)","100~199인","총종사자수_계[명]","명","14043","12762","11709","11736","11583",
"대구광역시","C.제조업(10~34)","100~199인","총종사자수_남자[명]","명","10127","9069","8604","8499","8145",
"대구광역시","C.제조업(10~34)","100~199인","총종사자수_여자[명]","명","3916","3693","3105","3237","3438",
"대구광역시","C.제조업(10~34)","200~299인","사업체수[개]","개","21","24","22","24","29",
"대구광역시","C.제조업(10~34)","200~299인","총종사자수_계[명]","명","5234","5766","5177","5679","7280",
"대구광역시","C.제조업(10~34)","200~299인","총종사자수_남자[명]","명","4168","4826","4325","4265","5583",
"대구광역시","C.제조업(10~34)","200~299인","총종사자수_여자[명]","명","1066","940","852","1414","1697",
"대구광역시","C.제조업(10~34)","300~499인","사업체수[개]","개","13","12","13","15","15",
"대구광역시","C.제조업(10~34)","300~499인","총종사자수_계[명]","명","4722","4377","4726","5640","5862",
"대구광역시","C.제조업(10~34)","300~499인","총종사자수_남자[명]","명","3877","3482","3692","4467","4865",
"대구광역시","C.제조업(10~34)","300~499인","총종사자수_여자[명]","명","845","895","1034","1173","997",
"대구광역시","C.제조업(10~34)","500~999인","사업체수[개]","개","10","9","9","8","8",
"대구광역시","C.제조업(10~34)","500~999인","총종사자수_계[명]","명","6453","6155","6246","5633","6225",
"대구광역시","C.제조업(10~34)","500~999인","총종사자수_남자[명]","명","5595","5435","5669","5092","5476",
"대구광역시","C.제조업(10~34)","500~999인","총종사자수_여자[명]","명","858","720","577","541","749",
"대구광역시","C.제조업(10~34)","1000인이상","사업체수[개]","개","1","1","1","2","1",
"대구광역시","C.제조업(10~34)","1000인이상","총종사자수_계[명]","명","1194","1195","1240","2297","1118",
"대구광역시","C.제조업(10~34)","1000인이상","총종사자수_남자[명]","명","1191","1115","1156","2077","1032",
"대구광역시","C.제조업(10~34)","1000인이상","총종사자수_여자[명]","명","3","80","84","220","86",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","사업체수[개]","개","71","66","85","85","80",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","총종사자수_계[명]","명","2625","2575","2919","2598","2676",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","총종사자수_남자[명]","명","2108","2088","2384","2055","1902",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모","총종사자수_여자[명]","명","517","487","535","543","774",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","사업체수[개]","개","41","40","60","60","54",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","총종사자수_계[명]","명","78","75","90","97","78",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","총종사자수_남자[명]","명","59","55","64","71","64",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인","총종사자수_여자[명]","명","19","20","26","26","14",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","사업체수[개]","개","7","4","7","6","6",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","총종사자수_계[명]","명","41","22","43","36","37",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","총종사자수_남자[명]","명","34","17","36","31","30",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인","총종사자수_여자[명]","명","7","5","7","5","7",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","사업체수[개]","개","9","9","6","6","6",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","총종사자수_계[명]","명","153","156","123","102","96",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","총종사자수_남자[명]","명","128","111","103","78","74",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인","총종사자수_여자[명]","명","25","45","20","24","22",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","사업체수[개]","개","2","1","1","1","1",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","총종사자수_계[명]","명","68","36","49","32","38",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","총종사자수_남자[명]","명","43","28","13","30","36",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~49인","총종사자수_여자[명]","명","25","8","36","2","2",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","사업체수[개]","개","7","7","5","6","6",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","총종사자수_계[명]","명","511","544","389","483","453",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","총종사자수_남자[명]","명","422","451","306","398","359",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","50~99인","총종사자수_여자[명]","명","89","93","83","85","94",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","사업체수[개]","개","2","2","3","4","5",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","총종사자수_계[명]","명","304","286","406","541","644",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","총종사자수_남자[명]","명","270","251","337","449","541",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~199인","총종사자수_여자[명]","명","34","35","69","92","103",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","사업체수[개]","개","2","2","1","1","1",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","총종사자수_계[명]","명","457","455","207","274","260",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","총종사자수_남자[명]","명","359","374","187","187","178",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","200~299인","총종사자수_여자[명]","명","98","81","20","87","82",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","사업체수[개]","개","0","0","1","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","총종사자수_계[명]","명","0","0","332","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","총종사자수_남자[명]","명","0","0","253","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","300~499인","총종사자수_여자[명]","명","0","0","79","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","500~999인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","사업체수[개]","개","1","1","1","1","1",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","총종사자수_계[명]","명","1013","1001","1280","1033","1070",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","총종사자수_남자[명]","명","793","801","1085","811","620",
"대구광역시","D.전기, 가스, 증기 및 공기 조절 공급업(35)","1000인이상","총종사자수_여자[명]","명","220","200","195","222","450",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","사업체수[개]","개","277","301","293","303","330",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","총종사자수_계[명]","명","2935","3187","3229","3227","3439",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","총종사자수_남자[명]","명","2373","2590","2621","2629","2824",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모","총종사자수_여자[명]","명","562","597","608","598","615",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","사업체수[개]","개","130","141","138","151","187",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","총종사자수_계[명]","명","359","365","358","376","463",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","총종사자수_남자[명]","명","271","272","278","290","360",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1~4인","총종사자수_여자[명]","명","88","93","80","86","103",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","사업체수[개]","개","64","74","73","73","48",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","총종사자수_계[명]","명","412","475","454","467","320",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","총종사자수_남자[명]","명","325","374","369","376","258",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5~9인","총종사자수_여자[명]","명","87","101","85","91","62",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","사업체수[개]","개","66","66","64","60","72",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","총종사자수_계[명]","명","1079","1061","1059","976","1164",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","총종사자수_남자[명]","명","887","889","884","817","969",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10~29인","총종사자수_여자[명]","명","192","172","175","159","195",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","사업체수[개]","개","7","8","5","5","9",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","총종사자수_계[명]","명","276","292","183","180","315",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","총종사자수_남자[명]","명","241","244","151","145","279",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~49인","총종사자수_여자[명]","명","35","48","32","35","36",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","사업체수[개]","개","9","10","11","11","12",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","총종사자수_계[명]","명","624","701","753","752","805",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","총종사자수_남자[명]","명","500","595","624","641","681",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~99인","총종사자수_여자[명]","명","124","106","129","111","124",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","사업체수[개]","개","1","2","1","2","1",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","총종사자수_계[명]","명","185","293","125","272","104",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","총종사자수_남자[명]","명","149","216","94","215","89",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100~199인","총종사자수_여자[명]","명","36","77","31","57","15",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","사업체수[개]","개","0","0","1","1","1",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","총종사자수_계[명]","명","0","0","297","204","268",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","총종사자수_남자[명]","명","0","0","221","145","188",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","200~299인","총종사자수_여자[명]","명","0","0","76","59","80",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300~499인","사업체수[개]","개","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300~499인","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300~499인","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300~499인","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","500~999인","사업체수[개]","개","0","0","0","0","0",
