follower_id,followee_id
5660312,1654576440
1654576440,5660312
3387707473,3020047310
782987339425603584,3020047310
832635154610860037,3020047310
2602006298,3020047310
305408199,3020047310
19017772,3020047310
758840725698072577,3020047310
832031373695315969,3020047310
46165908,3020047310
2863083106,3020047310
794490172616437760,3020047310
15862472,3020047310
782977995866800128,3020047310
341766982,3020047310
2869773232,3020047310
2575295917,3020047310
103846480,816899
17850637,816899
15613005,816899
816899,81026888
816899,103846480
816899,46374231
816899,17850637
816899,15613005
735570269176094720,1163834882524495872
1163834882524495872,735570269176094720
198380977,95592094
95592094,198380977
1622060240,548370686
1622060240,237343009
16801580,25671405
182430132,25671405
2717607301,25671405
25671405,275000481
25671405,498753368
25671405,16801580
25671405,14464849
25671405,135500772
25671405,2717607301
808691698280886273,41981818
41981818,808691698280886273
19739275,21489242
99372563,21489242
28156363,21489242
21489242,866102366
21489242,777150909839093760
21489242,99372563
21489242,28156363
81598236,2808921757
3124532984,786158618
786158618,3124532984
2380707246,32025871
32025871,2380707246
32025871,1692540656
14269478,17231390
17231390,707854593
17231390,14269478
17231390,178089837
17231390,46374231
183257793,1041236514
1385383704,1041236514
757723482222317569,1041236514
170109701,1041236514
2731919712,1041236514
23828419,1041236514
26316503,1041236514
1041236514,757723482222317569
1041236514,801544807856402432
1041236514,1020628970
1041236514,785654521837957121
1041236514,34809486
1041236514,183257793
1041236514,2413671859
1041236514,3188075485
1041236514,1385383704
1041236514,170109701
1041236514,2171720844
1041236514,23828419
1041236514,2731919712
1041236514,26316503
527384531,400088882
400088882,1138427058105868288
400088882,202105702
90743520,2360170082
90743520,1621303962
1039333611642740743,81026888
1283914802,81026888
999362187851370497,81026888
476507139,81026888
574806984,81026888
1137785719,81026888
252178532,81026888
208693559,81026888
278230935,81026888
81026888,1283914802
81026888,1137785719
50374664,724362205
6616262,21149808
778933753150251008,84974560
84974560,73813227
84974560,2969193063
84974560,789751656233611265
84974560,550596607
84974560,2876253887
84974560,4925854301
84974560,3351714794
84974560,1898931120
84974560,95725123
7263602,39623
39623,30556255
39623,61360605
39623,13678852
39623,55228824
39623,7263602
2185554632,255186959
255186959,1202882526
255186959,2185554632
1228487366,22824309
1130934924578611200,1044121365836681216
1044121365836681216,1130934924578611200
4770363093,119935358
119935358,4770363093
119935358,17013045
52098439,2861204781
2861204781,52098439
2861204781,778933753150251008
77317813,49320363
893900539083313152,49320363
877878979956551680,49320363
41688206,49320363
225068510,49320363
528004943,49320363
49320363,77317813
49320363,893900539083313152
49320363,877878979956551680
49320363,41688206
49320363,225068510
49320363,528004943
208693559,16355450
16355450,208693559
16355450,1539471
16355450,17343124
872178775215267842,131288161
329493697,131288161
131288161,872178775215267842
131288161,329493697
23628391,39878719
