"교육정도별",2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
"교육정도별",취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명),취업 무경험 실업자 (천명),취업 유경험 실업자 (천명),1년이전 취업 유경험 실업자 (천명),1년이내 취업 유경험 실업자 (천명)
"계",81,993,265,728,75,988,240,748,69,1039,226,813,60,977,248,729,52,781,202,579,48,739,174,566
"초졸이하",1,58,9,49,0,68,9,59,0,74,9,65,0,76,8,68,1,57,6,51,1,52,6,45
"중졸",4,73,8,65,2,85,13,72,2,93,13,80,2,82,14,68,1,61,12,49,1,57,8,49
"고졸",25,419,99,321,29,411,86,324,28,444,89,355,22,401,99,302,19,317,83,234,16,283,62,221
"대졸이상",52,442,149,293,44,425,133,292,39,430,115,314,36,418,127,291,31,346,101,245,30,348,97,250
"전문대졸",12,146,34,112,9,142,36,106,12,155,37,118,10,153,45,108,3,124,31,93,5,114,23,91
"대학교졸이상",40,296,115,181,35,283,97,186,27,275,78,197,26,265,82,183,27,222,70,152,26,233,74,159
