기업 이름,이동 링크,총 만족도,평균 임금
(주)에이스프로젝트,/companies/95319/info/%EC%97%90%EC%9D%B4%EC%8A%A4%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8?,4.1,"4,062"
(주)똑똑한개발자,/companies/392651/info/%EB%98%91%EB%98%91%ED%95%9C%EA%B0%9C%EB%B0%9C%EC%9E%90?,4.1,"3,626"
태그바이컴퍼니(주),/companies/325402/info/%ED%83%9C%EA%B7%B8%EB%B0%94%EC%9D%B4%EC%BB%B4%ED%8D%BC%EB%8B%88?,4.1,"3,670"
(주)플레이스5,/companies/95375/info/%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A45?,4.0,"4,470"
SK텔레콤(주),/companies/20575/info/sk%ED%85%94%EB%A0%88%EC%BD%A4?,4.0,"7,592"
네이버제트(주),/companies/366207/info/%EB%84%A4%EC%9D%B4%EB%B2%84%EC%A0%9C%ED%8A%B8?,4.0,"6,023"
시만텍코리아(주),/companies/25075/info/%EC%8B%9C%EB%A7%8C%ED%85%8D%EC%BD%94%EB%A6%AC%EC%95%84?,4.0,"7,078"
(주)버즈빌,/companies/313882/info/%EB%B2%84%EC%A6%88%EB%B9%8C?,4.0,"5,461"
(주)데이블,/companies/309354/info/%EB%8D%B0%EC%9D%B4%EB%B8%94?,4.0,"5,438"
(주)베이글코드,/companies/75788/info/%EB%B2%A0%EC%9D%B4%EA%B8%80%EC%BD%94%EB%93%9C?,4.0,"4,782"
지오그레이트(주),/companies/130926/info/%EC%A7%80%EC%98%A4%EA%B7%B8%EB%A0%88%EC%9D%B4%ED%8A%B8?,4.0,"3,683"
클립소프트(주),/companies/52192/info/%ED%81%B4%EB%A6%BD%EC%86%8C%ED%94%84%ED%8A%B8?,4.0,"4,099"
네이버(주),/companies/42217/info/%EB%84%A4%EC%9D%B4%EB%B2%84?,4.0,"6,710"
(주)채널코퍼레이션,/companies/95169/info/%EC%B1%84%EB%84%90%EC%BD%94%ED%8D%BC%EB%A0%88%EC%9D%B4%EC%85%98?,4.0,"6,164"
(주)알비트,/companies/326032/info/%EC%95%8C%EB%B9%84%ED%8A%B8?,4.0,"3,811"
(주)워로브라더스,/companies/367219/info/%EC%9B%8C%EB%A1%9C%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4?,4.0,"3,550"
우리에프아이에스(주),/companies/16738/info/%EC%9A%B0%EB%A6%AC%EC%97%90%ED%94%84%EC%95%84%EC%9D%B4%EC%97%90%EC%8A%A4?,4.0,"7,487"
(주)당근마켓,/companies/342411/info/%EB%8B%B9%EA%B7%BC%EB%A7%88%EC%BC%93?,4.0,"5,977"
(주)로플랫,/companies/331043/info/%EB%A1%9C%ED%94%8C%EB%9E%AB?,4.0,"5,713"
(주)아이써치마케팅,/companies/384115/info/%EC%95%84%EC%9D%B4%EC%8D%A8%EC%B9%98%EB%A7%88%EC%BC%80%ED%8C%85?,4.0,"2,340"
퍼블리시(주),/companies/365770/info/%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%8B%9C?,3.9,"4,234"
(주)아이브릭스,/companies/349302/info/%EC%95%84%EC%9D%B4%EB%B8%8C%EB%A6%AD%EC%8A%A4?,3.9,"4,476"
(주)이안시스템,/companies/364200/info/%EC%9D%B4%EC%95%88%EC%8B%9C%EC%8A%A4%ED%85%9C?,3.9,0
(주)이씨에스텔레콤,/companies/97088/info/%EC%9D%B4%EC%94%A8%EC%97%90%EC%8A%A4%ED%85%94%EB%A0%88%EC%BD%A4?,3.9,"7,947"
(주)피엑스디,/companies/89630/info/%ED%94%BC%EC%97%91%EC%8A%A4%EB%94%94?,3.9,"4,303"
