"시도별(17개)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","기타 기계 및 장비 제조업","10~29인","총종사자수_여자[명]","명","959","905","939","939","1008",
"대구광역시","기타 기계 및 장비 제조업","30~49인","사업체수[개]","개","74","73","64","62","67",
"대구광역시","기타 기계 및 장비 제조업","30~49인","총종사자수_계[명]","명","2716","2736","2405","2269","2464",
"대구광역시","기타 기계 및 장비 제조업","30~49인","총종사자수_남자[명]","명","2328","2363","2055","1970","2160",
"대구광역시","기타 기계 및 장비 제조업","30~49인","총종사자수_여자[명]","명","388","373","350","299","304",
"대구광역시","기타 기계 및 장비 제조업","50~99인","사업체수[개]","개","34","34","38","37","31",
"대구광역시","기타 기계 및 장비 제조업","50~99인","총종사자수_계[명]","명","2349","2307","2610","2380","2048",
"대구광역시","기타 기계 및 장비 제조업","50~99인","총종사자수_남자[명]","명","2007","1970","2194","1999","1727",
"대구광역시","기타 기계 및 장비 제조업","50~99인","총종사자수_여자[명]","명","342","337","416","381","321",
"대구광역시","기타 기계 및 장비 제조업","100~199인","사업체수[개]","개","15","13","11","14","11",
"대구광역시","기타 기계 및 장비 제조업","100~199인","총종사자수_계[명]","명","2038","1622","1469","1877","1499",
"대구광역시","기타 기계 및 장비 제조업","100~199인","총종사자수_남자[명]","명","1501","1211","1037","1497","1285",
"대구광역시","기타 기계 및 장비 제조업","100~199인","총종사자수_여자[명]","명","537","411","432","380","214",
"대구광역시","기타 기계 및 장비 제조업","200~299인","사업체수[개]","개","2","4","3","3","5",
"대구광역시","기타 기계 및 장비 제조업","200~299인","총종사자수_계[명]","명","486","939","740","735","1244",
"대구광역시","기타 기계 및 장비 제조업","200~299인","총종사자수_남자[명]","명","439","857","683","530","866",
"대구광역시","기타 기계 및 장비 제조업","200~299인","총종사자수_여자[명]","명","47","82","57","205","378",
"대구광역시","기타 기계 및 장비 제조업","300~499인","사업체수[개]","개","3","2","1","1","2",
"대구광역시","기타 기계 및 장비 제조업","300~499인","총종사자수_계[명]","명","1047","725","307","303","668",
"대구광역시","기타 기계 및 장비 제조업","300~499인","총종사자수_남자[명]","명","953","666","269","267","613",
"대구광역시","기타 기계 및 장비 제조업","300~499인","총종사자수_여자[명]","명","94","59","38","36","55",
"대구광역시","기타 기계 및 장비 제조업","500~999인","사업체수[개]","개","2","2","2","2","2",
"대구광역시","기타 기계 및 장비 제조업","500~999인","총종사자수_계[명]","명","1378","1336","1283","1587","1572",
"대구광역시","기타 기계 및 장비 제조업","500~999인","총종사자수_남자[명]","명","1313","1272","1230","1532","1472",
"대구광역시","기타 기계 및 장비 제조업","500~999인","총종사자수_여자[명]","명","65","64","53","55","100",
"대구광역시","기타 기계 및 장비 제조업","1000인이상","사업체수[개]","개","0","0","0","0","0",
"대구광역시","기타 기계 및 장비 제조업","1000인이상","총종사자수_계[명]","명","0","0","0","0","0",
"대구광역시","기타 기계 및 장비 제조업","1000인이상","총종사자수_남자[명]","명","0","0","0","0","0",
"대구광역시","기타 기계 및 장비 제조업","1000인이상","총종사자수_여자[명]","명","0","0","0","0","0",
"대구광역시","일반 목적용 기계 제조업","전규모","사업체수[개]","개","590","588","575","615","608",
"대구광역시","일반 목적용 기계 제조업","전규모","총종사자수_계[명]","명","8300","8209","7646","7797","8008",
"대구광역시","일반 목적용 기계 제조업","전규모","총종사자수_남자[명]","명","6837","6803","6211","6426","6579",
"대구광역시","일반 목적용 기계 제조업","전규모","총종사자수_여자[명]","명","1463","1406","1435","1371","1429",
"대구광역시","일반 목적용 기계 제조업","1~4인","사업체수[개]","개","256","256","267","308","300",
"대구광역시","일반 목적용 기계 제조업","1~4인","총종사자수_계[명]","명","731","748","744","830","805",
"대구광역시","일반 목적용 기계 제조업","1~4인","총종사자수_남자[명]","명","583","578","577","654","645",
"대구광역시","일반 목적용 기계 제조업","1~4인","총종사자수_여자[명]","명","148","170","167","176","160",
"대구광역시","일반 목적용 기계 제조업","5~9인","사업체수[개]","개","159","162","140","131","122",
"대구광역시","일반 목적용 기계 제조업","5~9인","총종사자수_계[명]","명","1033","1148","891","830","770",
"대구광역시","일반 목적용 기계 제조업","5~9인","총종사자수_남자[명]","명","833","931","697","653","603",
"대구광역시","일반 목적용 기계 제조업","5~9인","총종사자수_여자[명]","명","200","217","194","177","167",
"대구광역시","일반 목적용 기계 제조업","10~29인","사업체수[개]","개","121","113","115","125","133",
"대구광역시","일반 목적용 기계 제조업","10~29인","총종사자수_계[명]","명","1940","1752","1828","1949","1974",
"대구광역시","일반 목적용 기계 제조업","10~29인","총종사자수_남자[명]","명","1585","1419","1499","1599","1599",
"대구광역시","일반 목적용 기계 제조업","10~29인","총종사자수_여자[명]","명","355","333","329","350","375",
"대구광역시","일반 목적용 기계 제조업","30~49인","사업체수[개]","개","23","24","22","17","22",
"대구광역시","일반 목적용 기계 제조업","30~49인","총종사자수_계[명]","명","803","869","820","610","816",
"대구광역시","일반 목적용 기계 제조업","30~49인","총종사자수_남자[명]","명","677","738","683","537","718",
"대구광역시","일반 목적용 기계 제조업","30~49인","총종사자수_여자[명]","명","126","131","137","73","98",
"대구광역시","일반 목적용 기계 제조업","50~99인","사업체수[개]","개","18","21","22","23","20",
"대구광역시","일반 목적용 기계 제조업","50~99인","총종사자수_계[명]","명","1267","1399","1519","1487","1308",
"대구광역시","일반 목적용 기계 제조업","50~99인","총종사자수_남자[명]","명","1064","1187","1250","1214","1068",
"대구광역시","일반 목적용 기계 제조업","50~99인","총종사자수_여자[명]","명","203","212","269","273","240",
"대구광역시","일반 목적용 기계 제조업","100~199인","사업체수[개]","개","10","8","6","9","7",
"대구광역시","일반 목적용 기계 제조업","100~199인","총종사자수_계[명]","명","1334","968","753","1158","907",
"대구광역시","일반 목적용 기계 제조업","100~199인","총종사자수_남자[명]","명","1019","760","515","915","751",
