일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2023.9.1,북강릉(104),X,28,28.2,23,17.5,71.1,X, ,X,낮음
2023.9.1,동해(106),X,27.5,27,22.5,18.8,82.4,X, ,X,낮음
2023.9.1,서울(108),X,29.1,29.6,24.5,19.7,70.6,X, ,X,높음
2023.9.1,인천(112),X,28.3,28.3,24.1,20.4,73,X, ,X,높음
2023.9.1,원주(114),X,28.4,29.1,22.7,17.9,74,X, ,X,낮음
2023.9.1,울릉도(115),X,27.4,24.6,23,21.1,92,X, ,X,보통
2023.9.1,수원(119),X,28.8,29.7,23.7,18.3,72.8,X, ,X,높음
2023.9.1,영월(121),X,28.6,28.8,22.2,18.8,80.9,X, ,X,낮음
2023.9.1,충주(127),X,28.6,29.1,22.8,18.5,77.1,X, ,X,높음
2023.9.1,서산(129),X,28.8,29.5,23.3,17.4,73.5,X, ,X,매우높음
2023.9.1,울진(130),X,27.7,26.5,23.1,20.2,84.1,X, ,X,높음
2023.9.1,청주(131),X,28.6,29.8,24,18.6,68.6,X, ,X,매우높음
2023.9.1,대전(133),X,28.7,29.4,23.1,18.2,72.8,X, ,X,매우높음
2023.9.1,추풍령(135),X,28.6,28.8,22.1,18.2,79.3,X, ,X,매우높음
2023.9.1,안동(136),X,29.2,29.7,23.3,19.7,80.3,X,관심,X,보통
2023.9.1,상주(137),X,29.8,29.6,23.3,18.6,81.1,X, ,X,매우높음
2023.9.1,포항(138),X,28.7,26.9,25,23.5,82.6,X, ,X,보통
2023.9.1,군산(140),X,30.3,30,24.1,18.6,74.6,X, ,X,매우높음
2023.9.1,대구(143),X,30.4,30.2,25.8,23.1,76.6,X, ,X,보통
2023.9.1,전주(146),X,29.9,30.5,24.2,18.9,71,X, ,X,매우높음
2023.9.1,울산(152),X,27.6,25.4,23.4,22.4,91.8,X, ,X,보통
2023.9.1,창원(155),X,28.7,26.9,24.4,23.4,89.4,X, ,X,보통
2023.9.1,광주(156),X,30.3,30.1,24.6,20.3,83.5,X,관심,X,높음
2023.9.1,부산(159),X,28,25.4,24,22.8,89.9,X, ,X,보통
2023.9.1,통영(162),X,28,24.9,24.3,23.5,95.5,X, ,X,보통
2023.9.1,목포(165),X,29.6,28.7,24.2,21.3,80.6,X, ,X,보통
2023.9.1,여수(168),X,29.6,27.7,25.7,24.4,84.1,X, ,X,높음
2023.9.1,흑산도(169),X,27.9,26,23.3,21,81.4,X, ,X,매우높음
2023.9.1,완도(170),X,32.1,31.1,25.9,22.2,83.5,X,관심,X,높음
2023.9.1,고창(172),X,29.7,29.4,23.3,18.5,82.1,X, ,X,매우높음
2023.9.1,제주(184),X,28.9,26.9,25,23,83,X, ,X,높음
2023.9.1,진주(192),X,31.6,30.5,25.5,22.5,85.4,X, ,X,높음
2023.9.1,양평(202),X,28.9,29.2,22.1,18.3,81.9,X, ,X,높음
2023.9.1,이천(203),X,29.6,29.3,21.9,18.5,87.4,X, ,X,높음
2023.9.1,인제(211),X,28.3,28.9,22.1,17.7,77.3,X, ,X,낮음
2023.9.1,홍천(212),X,28.3,29,21.7,17.7,79.5,X, ,X,낮음
2023.9.1,태백(216),X,26.9,27.6,19,12,75.3,X, ,X,낮음
2023.9.1,정선군(217),X,30.6,31.3,22,16.8,75.1,X, ,X,낮음
2023.9.1,제천(221),X,28.4,28.3,21.2,16.2,85.8,X, ,X,높음
2023.9.1,보은(226),X,28.7,28.9,21.3,17.2,84.9,X, ,X,매우높음
2023.9.1,천안(232),X,28.7,29.4,22.1,17.3,81.9,X, ,X,매우높음
2023.9.1,보령(235),X,29.2,29.9,23.5,18.5,70.8,X, ,X,매우높음
2023.9.1,부여(236),X,30.2,30.3,23.1,17.5,79.8,X, ,X,매우높음
2023.9.1,금산(238),X,28.9,29.3,21.4,16.7,82.4,X, ,X,매우높음
2023.9.1,세종(239),X,29.7,29.5,22.6,18.3,81.4,X, ,X,매우높음
2023.9.1,부안(243),X,29.5,30.2,23.6,18.1,78.8,X,관심,X,매우높음
2023.9.1,임실(244),X,28.1,29.7,22.9,18.8,74.8,X,관심,X,보통
2023.9.1,정읍(245),X,29.9,30.2,23.5,19.5,77.3,X,관심,X,매우높음
2023.9.1,남원(247),X,30.3,30.5,24.5,20.8,75.9,X, ,X,보통
2023.9.1,장수(248),X,28.1,28,21.7,17.1,82.3,X, ,X,보통
2023.9.1,영광군(252),X,29.9,30.2,23.6,18.6,78.5,X, ,X,매우높음
2023.9.1,김해시(253),X,29.1,25.9,24.4,23.5,99.1,X,관심,X,보통
2023.9.1,순창군(254),X,30.5,31.2,23.9,19.1,78.5,X,관심,X,보통
2023.9.1,양산시(257),X,29.6,26.8,24.9,24,98.1,X, ,X,보통
2023.9.1,강진군(259),O,33,32.6,26.3,21.2,82.5,X,관심,X,보통
2023.9.1,장흥(260),O,33,32.6,25.9,21,85.6,O,관심,X,높음
2023.9.1,해남(261),X,31.7,30.9,25.1,20.1,86.1,O,관심,X,높음
2023.9.1,고흥(262),X,30.9,30,24.8,21.5,87.4,X, ,X,높음
2023.9.1,의령군(263),X,31.8,31.5,26.4,23.4,81.3,X,관심,X,높음
2023.9.1,함양군(264),X,30.5,31.2,24.7,19.3,82.1,X, ,X,보통
2023.9.1,진도군ASOS(268),X,29.9,29.2,24.6,20.6,79.1,X, ,X,높음
2023.9.1,봉화(271),X,27.4,27.6,20.8,16.8,82,X, ,X,높음
2023.9.1,영주(272),X,28.9,28.2,21.2,16.5,86,X, ,X,높음
2023.9.1,문경(273),X,29.9,29.4,21.9,17.3,82.9,X, ,X,매우높음
2023.9.1,청송군(276),X,30.9,30.4,23.8,20,85.9,X, ,X,보통
2023.9.1,영덕(277),X,28,26.7,22.7,19.9,88.3,X, ,X,보통
2023.9.1,의성(278),X,29.7,29.7,24.1,19.6,85.3,X,관심,X,보통
2023.9.1,구미(279),X,29.5,29.6,23.5,19.4,76.4,X, ,X,보통
2023.9.1,영천(281),X,29.7,29.3,24.6,22.2,85.3,X, ,X,보통
2023.9.1,경주시(283),X,29.8,28.5,24.5,23.1,89.5,X, ,X,보통
2023.9.1,거창(284),X,29.4,29.9,23,17.5,79.9,X, ,X,보통
2023.9.1,합천(285),X,29.9,30.6,24.2,19.8,78.9,X, ,X,높음
2023.9.1,밀양(288),X,30.1,29.9,24.9,23.2,85.8,X, ,X,보통
2023.9.1,산청(289),X,32,30.8,24.7,20.4,85,X, ,X,보통
2023.9.1,거제(294),X,28,24.9,23.8,23.2,97.5,X, ,X,낮음
2023.9.1,남해(295),X,28.9,27.4,25,23.4,89.5,X, ,X,보통
2023.9.1,부천(433),X,27.8,29.2,23.6,18.8,65,X, ,X,높음
2023.9.1,안양(434),X,25.2,29.7,24.4,19.9,,X, ,X,높음
2023.9.1,광명(437),X,29.1,31,25.8,21.2,63,X, ,X,높음
2023.9.1,군포(438),X,28.9,30.7,24.8,19.4,63,X, ,X,높음
2023.9.1,김포(441),X,,29.5,23.8,18.8,,X, ,X,높음
2023.9.1,하남(444),X,28.6,29.5,21.9,16.9,74,X, ,X,높음
2023.9.1,의왕(445),X,28.4,29.3,23.1,17.8,73,X, ,X,높음
2023.9.1,포천(504),X,29.8,30,22,16.8,81,X, ,X,높음
2023.9.1,가평조종(505),X,28.3,28.7,21.4,16.8,83,X, ,X,높음
2023.9.1,안성(516),X,29.5,29.7,22.9,17.4,81,X, ,X,높음
2023.9.1,간성(517),X,28.1,27.3,22.2,16,79,X, ,X,낮음
2023.9.1,평창(526),X,28.6,29.1,20.8,16.8,76,X, ,X,낮음
2023.9.1,의정부(532),X,29.6,29,22.8,17.5,85,X, ,X,높음
2023.9.1,횡성(536),X,29.3,29.8,22,17.1,80,X, ,X,낮음
2023.9.1,고양(540),X,,,,,,X, ,X,높음
2023.9.1,남양주(541),X,29.7,30.7,23.4,17.2,74,X, ,X,높음
2023.9.1,안산(545),X,29.2,30.3,22.2,16,80,X, ,X,높음
2023.9.1,경기광주(546),X,28.3,29,22,18.2,77,X, ,X,높음
2023.9.1,여주(548),X,28,27.7,21.4,17.7,87,X, ,X,높음
2023.9.1,용인(549),X,27.6,28.5,21.7,17.4,78,X, ,X,높음
2023.9.1,오산(550),X,30.1,30.3,23.3,17.2,79,X, ,X,높음
2023.9.1,평택(551),X,30.4,31.3,23.5,18.2,82,X, ,X,높음
2023.9.1,화천(555),X,28.8,29,21.4,17.9,87,X, ,X,낮음
2023.9.1,양구(556),X,28.2,29,22.2,17.6,75,X, ,X,낮음
2023.9.1,시흥(565),X,29.8,30.8,23.6,17.6,76,X, ,X,높음
2023.9.1,구리(569),X,29,29.8,23.3,18.1,71,X, ,X,높음
2023.9.1,화성(571),X,29.4,30.2,24,18.8,74,X, ,X,높음
2023.9.1,성남(572),X,28.6,29.6,23.6,18.4,70,X, ,X,높음
2023.9.1,과천(590),X,29.2,29.9,22.9,17.1,78,X, ,X,높음
2023.9.1,양주(598),X,29.3,29.4,22.5,17.1,82,X, ,X,높음
2023.9.1,단양(601),X,29.9,29.7,22.3,18.2,83,X, ,X,높음
2023.9.1,진천(602),X,29.1,29.7,22.2,17.9,81,X, ,X,높음
2023.9.1,괴산(603),X,29,29.8,22,17.9,83,X, ,X,매우높음
2023.9.1,옥천(604),X,30.5,30.4,23.7,20.3,82,X, ,X,매우높음
2023.9.1,홍북(608),X,29,29.8,22.2,15.8,74,X, ,X,매우높음
2023.9.1,공주(612),X,30.3,30.1,22.2,17.4,84,X, ,X,매우높음
2023.9.1,서천(614),X,30.4,30.4,23,16.6,79,X, ,X,매우높음
2023.9.1,논산(615),X,30.5,31.4,23.4,17.2,79,X, ,X,매우높음
2023.9.1,당진(616),X,29.3,29.7,22.7,18.1,82,X, ,X,높음
2023.9.1,청양(618),X,29,29.7,21.6,15.7,81,X, ,X,매우높음
2023.9.1,음성(619),X,27.8,28.1,21,16.6,84,X, ,X,높음
2023.9.1,증평(623),X,29.1,29.4,22.3,16.9,83,X, ,X,매우높음
2023.9.1,태안(627),X,29.5,29.8,24.5,19.3,69,X, ,X,매우높음
2023.9.1,예산(628),X,29.3,29.8,23.3,17.9,76,X, ,X,매우높음
2023.9.1,아산(634),X,30,30.4,23.3,17.4,77,X, ,X,높음
2023.9.1,계룡(636),X,28.8,28.5,21.2,15.7,85,X, ,X,매우높음
2023.9.1,연천청산(652),X,28,28.2,21.1,16.2,82,X, ,X,높음
2023.9.1,양양(670),X,28.7,29,23.6,18.7,71,X, ,X,낮음
2023.9.1,무안(699),X,30.7,30.7,23.9,18.9,79,X,관심,X,보통
2023.9.1,무주(701),X,28.5,29.3,22.3,18.6,82,X, ,X,매우높음
2023.9.1,익산(702),X,28.9,29.8,23.4,17.2,75,X,관심,X,매우높음
2023.9.1,진안(703),X,27.6,28.1,21.7,17.4,79,X, ,X,보통
2023.9.1,담양(706),X,31.4,32.1,24.6,19.7,81,X,관심,X,매우높음
2023.9.1,구례(709),X,32.2,31,25.2,21.7,87,O,관심,X,보통
2023.9.1,나주(710),X,30.2,30.5,24.1,19.3,80,O,관심,X,보통
2023.9.1,순천시(712),X,32.9,31.7,26.7,22.9,87,O,관심,X,높음
2023.9.1,광양읍(713),X,32.8,32.3,26.6,22.7,83,X,관심,X,높음
2023.9.1,장성(730),X,30.8,30.7,23.1,18.2,80,X,관심,X,보통
2023.9.1,영암(731),X,31.2,30.7,24.7,19.9,85,O,관심,X,보통
2023.9.1,보성(732),X,31.7,31,24.9,20.1,85,X,관심,X,높음
2023.9.1,완주(734),X,30,30.4,23.1,17.2,78,X, ,X,매우높음
2023.9.1,김제(737),X,30,29.8,23.9,18.4,79,X,관심,X,매우높음
2023.9.1,화순(741),X,32.8,32.6,24.7,20.4,78,O,관심,X,보통
2023.9.1,함평(754),X,30.6,30.9,23.7,18.5,80,X,관심,X,보통
2023.9.1,곡성(768),X,31,30.8,23.5,19.8,86,X,관심,X,보통
2023.9.1,압해도(789),X,32.3,31.2,24.3,20.6,82,X,관심,X,보통
2023.9.1,영양(801),X,29.9,29.1,22.7,19,88,X, ,X,보통
2023.9.1,성주(810),X,29.7,30.6,24.3,19.1,72,X, ,X,보통
2023.9.1,고령(812),X,29.7,30.1,23.8,19.1,83,X, ,X,높음
2023.9.1,청도(813),X,31.1,30.6,24.8,22.9,87,X, ,X,보통
2023.9.1,예천(815),X,29.3,29.5,22.5,18.1,81,X,관심,X,높음
2023.9.1,김천(822),X,30.1,30.4,23.1,17.7,83,X, ,X,매우높음
2023.9.1,군위(823),X,29.6,29.8,23,19.1,83,X, ,X,낮음
2023.9.1,칠곡(825),X,29.5,29.7,24.2,19.6,81,X, ,X,보통
2023.9.1,경산(827),X,31,30.4,25.7,23.1,82,X, ,X,보통
2023.9.1,삼척(876),X,28.5,28.2,23.4,19.9,75,X, ,X,낮음
2023.9.1,속초(90),X,28.9,28.9,22.8,17.6,76.9,X, ,X,낮음
2023.9.1,삼천포(907),X,31.6,29.7,24.9,23,91,X,관심,X,보통
2023.9.1,고성(918),X,29.8,27.5,24.7,23.7,95,X, ,X,보통
2023.9.1,창녕(919),X,31,30.3,25.6,23.1,85,X, ,X,높음
2023.9.1,함안(920),X,30.6,28.7,25.3,23.3,89,X, ,X,보통
2023.9.1,북춘천(93),X,29.2,29.6,22.8,18.4,78.5,X, ,X,낮음
2023.9.1,하동(932),X,32.2,31.4,25.9,22.2,85,X,관심,X,높음
2023.9.1,철원(95),X,27.8,27.9,21,16.3,83.3,X, ,X,낮음
2023.9.1,동두천(98),X,28.3,27.9,22,16.7,80.8,X, ,X,높음
2023.9.1,파주(99),X,29.2,28.8,22,17.1,85.5,X, ,X,높음
2023.9.2,북강릉(104),X,26.9,26.3,22.7,18.7,76.1,X, ,X,낮음
2023.9.2,동해(106),X,27.2,25.8,22.4,18.5,88.3,X, ,X,낮음
2023.9.2,서울(108),X,30,30.8,25.4,19.7,63.9,X,관심,X,매우높음
2023.9.2,인천(112),X,29.2,29.1,25.1,20.2,71.1,X, ,X,매우높음
2023.9.2,원주(114),X,29.7,30.7,24.3,17.9,69.3,X, ,X,낮음
2023.9.2,울릉도(115),X,28.1,26.7,23.8,21.1,77.6,X, ,X,높음
2023.9.2,수원(119),X,30,31.3,24.8,18.4,69,X, ,X,매우높음
2023.9.2,영월(121),X,29.7,30.4,23.7,18.5,75.3,X, ,X,낮음
2023.9.2,충주(127),X,30.9,31,24.5,17.6,73.6,X,관심,X,매우높음
2023.9.2,서산(129),X,30.4,30.4,24.5,18.7,74.8,X, ,X,매우높음
2023.9.2,울진(130),X,29,27.5,23.6,18.5,84,X, ,X,높음
2023.9.2,청주(131),X,31.1,31.9,25.9,19.8,66.9,X,관심,X,매우높음
2023.9.2,대전(133),X,30.4,31.3,24.6,17.9,70.8,X,관심,X,매우높음
2023.9.2,추풍령(135),X,28.3,28.3,22.3,15.5,81.4,X,관심,X,매우높음
2023.9.2,안동(136),X,30.3,29.7,23.6,18.7,83.8,X,관심,X,매우높음
2023.9.2,상주(137),X,30.8,30.4,22.6,17,88.4,X, ,X,매우높음
2023.9.2,포항(138),X,28.9,27.3,25.2,22.8,78.5,X, ,X,보통
2023.9.2,군산(140),X,30.5,30.7,25,20.4,74.4,X, ,X,매우높음
2023.9.2,대구(143),X,29.9,28.9,24.9,22.5,79.8,X, ,X,보통
2023.9.2,전주(146),X,30.2,30.4,24.8,19,74.5,X,관심,X,매우높음
2023.9.2,울산(152),X,29.7,28,23.8,22,88,X, ,X,보통
2023.9.2,창원(155),X,31,29.7,24.3,23.1,87.8,X,관심,X,높음
2023.9.2,광주(156),X,30.5,27.2,24.3,22,98.1,X,관심,X,높음
2023.9.2,부산(159),X,28.8,27.1,24.2,23.1,85.8,X, ,X,보통
2023.9.2,통영(162),X,29,26.8,24.3,23.1,92.4,X, ,X,보통
2023.9.2,목포(165),X,30.3,28.1,24.9,22.4,88.6,X,관심,X,낮음
2023.9.2,여수(168),X,28.5,26.1,24.5,23.4,89.4,X, ,X,보통
2023.9.2,흑산도(169),X,27.9,25.7,23.2,22.1,90.6,X, ,X,매우높음
2023.9.2,완도(170),X,30.2,28.2,25.2,23.6,93.5,X,관심,X,낮음
2023.9.2,고창(172),X,29.5,27.8,24.2,20.1,86.1,X,관심,X,매우높음
2023.9.2,제주(184),X,31.2,31,27.4,24.6,72.6,X, ,X,보통
2023.9.2,진주(192),X,28.7,26.3,24,21.5,91.1,X, ,X,보통
2023.9.2,양평(202),X,28.6,29.3,22.6,17.9,78.8,X,관심,X,높음
2023.9.2,이천(203),X,30,30.2,22.8,17.2,82.3,X,관심,X,높음
2023.9.2,인제(211),X,29.8,30.2,22.2,17.5,78.3,X, ,X,낮음
2023.9.2,홍천(212),X,29.2,29.8,22.4,17.2,78.9,X, ,X,낮음
