일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2024.5.1,북강릉(104),X,17.2,16.8,12.4,8.2,69.5,X, ,X,낮음
2024.5.1,동해(106),X,18.2,18,12.9,7.7,69.6,X, ,X,낮음
2024.5.1,서울(108),X,21.8,24,18.5,13.9,46,X, ,X,낮음
2024.5.1,인천(112),X,20.6,21.4,16.7,12.9,58.5,X, ,X,낮음
2024.5.1,원주(114),X,20.7,23.2,18.1,14.2,37,X, ,X,낮음
2024.5.1,울릉도(115),X,,14.6,11.9,9.1,63.9,X, ,X,낮음
2024.5.1,수원(119),X,20.7,22.5,16.7,11.8,54.1,X, ,X,낮음
2024.5.1,영월(121),X,21.2,23.9,16.3,9.6,41.5,X, ,X,낮음
2024.5.1,충주(127),X,21.1,22.7,16.5,11.1,48.9,X, ,X,낮음
2024.5.1,서산(129),X,20.6,22.3,15.4,9.6,64.1,X, ,X,낮음
2024.5.1,울진(130),X,17.5,16.8,12.8,8.3,70.3,X, ,X,낮음
2024.5.1,청주(131),X,20.8,22.4,17.6,13.6,44.5,X, ,X,낮음
2024.5.1,대전(133),X,20.3,21.6,16.5,11.8,50.8,X, ,X,낮음
2024.5.1,추풍령(135),X,18.2,18.4,12.1,7.5,69.9,X, ,X,낮음
2024.5.1,안동(136),X,19.3,20.5,14.2,9.4,54.9,X, ,X,낮음
2024.5.1,상주(137),X,20.3,20.8,13.7,8.6,67,X, ,X,낮음
2024.5.1,포항(138),X,17.1,16.1,13.9,11.5,66.9,X, ,X,낮음
2024.5.1,군산(140),X,21.2,20.9,14.9,9.7,75.6,X, ,X,낮음
2024.5.1,대구(143),X,17.5,18.1,13,9.5,68.8,X, ,X,낮음
2024.5.1,전주(146),X,22,21.7,16,11.6,77.6,X, ,X,낮음
2024.5.1,울산(152),X,16.1,16.1,12.7,9.5,67,X, ,X,낮음
2024.5.1,창원(155),X,18.7,19.2,14.8,11.8,65.8,X, ,X,낮음
2024.5.1,광주(156),X,20.5,17.6,14.8,12.7,98.8,X, ,X,낮음
2024.5.1,부산(159),X,17.6,17.5,14.1,11.4,64.3,X, ,X,낮음
2024.5.1,통영(162),X,18.3,18.3,14.9,12.1,64.6,X, ,X,낮음
2024.5.1,목포(165),X,18.3,16.1,13.9,11.5,89.8,X, ,X,낮음
2024.5.1,여수(168),X,18.1,15.7,14,11.9,80.8,X, ,X,낮음
2024.5.1,흑산도(169),X,19.3,18.2,13.7,11.3,83,X, ,X,낮음
2024.5.1,완도(170),X,19.2,17.9,14.3,11.5,83.9,X, ,X,낮음
2024.5.1,고창(172),X,18.4,16.4,13.5,10.3,87.6,X, ,X,낮음
2024.5.1,제주(184),X,18.6,18.1,15.4,14,70.8,X, ,X,낮음
2024.5.1,진주(192),X,20,19.3,14,8.6,77.3,X, ,X,낮음
2024.5.1,양평(202),X,21.3,23.4,17.8,14.6,41.4,X, ,X,낮음
2024.5.1,이천(203),X,21.5,23,17.5,13.1,51,X, ,X,낮음
2024.5.1,인제(211),X,19.9,21.8,14.2,8.6,51.6,X, ,X,낮음
2024.5.1,홍천(212),X,21.3,23.9,16.1,10.9,44.3,X, ,X,낮음
2024.5.1,태백(216),X,15.1,15.5,8.9,2.6,69.1,X, ,X,낮음
2024.5.1,정선군(217),X,18.7,20.3,12.7,5,49.9,X, ,X,낮음
2024.5.1,제천(221),X,19.6,21.5,15.1,8.7,44.6,X, ,X,낮음
2024.5.1,보은(226),X,18.9,19.6,14.3,10.2,58.8,X, ,X,낮음
2024.5.1,천안(232),X,20,21.6,16.9,12.5,51.9,X, ,X,낮음
2024.5.1,보령(235),X,22.2,23.1,14.6,8.7,70.8,X, ,X,낮음
2024.5.1,부여(236),X,21,22.4,16,9.9,64.4,X, ,X,낮음
2024.5.1,금산(238),X,19.7,20.6,14.5,10.5,64.4,X, ,X,낮음
2024.5.1,세종(239),X,20,21.4,16.5,12.1,52.8,X, ,X,낮음
2024.5.1,부안(243),X,21.2,20.4,14.8,10.1,83.6,X, ,X,낮음
2024.5.1,임실(244),X,19.2,19.3,15,11.9,71.6,X, ,X,낮음
2024.5.1,정읍(245),X,20.4,18.6,14.2,10.7,88.1,X, ,X,낮음
2024.5.1,남원(247),X,19.1,19.3,14.9,12.3,68.5,X, ,X,낮음
2024.5.1,장수(248),X,18.2,18.5,13.8,11.5,73.8,X, ,X,낮음
2024.5.1,영광군(252),X,18.3,15.8,13.3,10.3,89.4,X, ,X,낮음
2024.5.1,김해시(253),X,19.9,19.9,14.2,11.1,65.3,X, ,X,낮음
2024.5.1,순창군(254),X,18.9,18.7,15,12.3,74.8,X, ,X,낮음
2024.5.1,양산시(257),X,19.6,19.9,14.6,11.1,67.1,X, ,X,낮음
2024.5.1,강진군(259),X,18.4,17,14,10.2,84.3,X, ,X,낮음
2024.5.1,장흥(260),X,18.5,17.3,13.5,8.3,84.8,X, ,X,낮음
2024.5.1,해남(261),X,18.3,17.2,14.1,11.6,88.8,X, ,X,낮음
2024.5.1,고흥(262),X,18.6,16.3,14,8.8,81.8,X, ,X,낮음
2024.5.1,의령군(263),X,20,20.1,14.2,8.4,72.1,X, ,X,낮음
2024.5.1,함양군(264),X,18.8,19,13.8,10.3,74.5,X, ,X,낮음
2024.5.1,진도군ASOS(268),X,18.8,16.7,13.8,10.9,91.6,X, ,X,낮음
