count,date,title,description,org_link,link
593,2024-08-13 10:26:00,"임태희 경기교육감, &quot;국민에게 사랑받는 공교육 위해 모두 힘 합치자&quot;",특히 시도교육청별 교육정책 현안 주제 토의에서는 △모든 학생의 성장을 지원하는 기초학력 책임 지도 방안 △교원의 <b>인공지능</b>(AI) 기반 교수학습역량 강화 추진 방안에 시도교육청별 추진 상황을 안내하며 함께 의견을... ,http://www.suwonilbo.kr/news/articleView.html?idxno=306151,http://www.suwonilbo.kr/news/articleView.html?idxno=306151
594,2024-08-13 10:26:00,"유진투자증권, 모트에이아이와 증권업 AI 전환 협약",유진투자증권은 모트에이아이와 증권업 <b>인공지능</b>(AI) 전환을 위한 업무협약(MOU)을 체결했다고 13일 밝혔다. 이번 업무협약은 기존 증권업 시스템과 프로세스에 최적화된 AI 모델 개발을 목적으로 체결됐다. 앞으로... ,http://www.goodkyung.com/news/articleView.html?idxno=244279,http://www.goodkyung.com/news/articleView.html?idxno=244279
595,2024-08-13 10:26:00,"코스콤, '코리아 핀테크 위크 2024'서 금융업 AI 도입 방향 제시",코스콤이 '코리아 핀테크 위크 2024' 행사에서 '금융업계 <b>인공지능</b>(AI) 서비스 도입 전략'을 주제 서비스 도입 및 발전 방향을 공유한다고 13일 밝혔다.'코리아 핀테크 위크 2024'는 금융위원회가 핀테크 산업의 혁신과... ,https://news.mtn.co.kr/news-detail/2024081310063832477,https://news.mtn.co.kr/news-detail/2024081310063832477
596,2024-08-13 10:25:00,"코스콤, ‘코리아 핀테크 위크 2024’에서 금융업계 AI 도입 향방 제시",코스콤은 이달 27일부터 3일간 동대문 디자인 플라자(DDP) 에서 진행되는 ‘코리아 핀테크 위크 2024’ 행사에서 ‘금융업계 <b>인공지능</b>(AI) 서비스 도입 전략’을 주제로 한 세미나·홍보관을 열고 AI 서비스 도입·발전... ,https://www.mk.co.kr/article/11091530,https://n.news.naver.com/mnews/article/009/0005349419?sid=101
597,2024-08-13 10:25:00,"웅진씽크빅, 메타버스에 AI 접목 영어교육 서비스 출시",웅진씽크빅이 오는 10월 국내 유초등 교육업계 최초로 메타버스 콘텐츠에 생성형 <b>인공지능</b>(AI)을 더한 교육 서비스 '링고시티'를 선보인다고 13일 밝혔다. 링고시티는 메타버스로 구현한 세계 주요 도시를 여행하는 동안... ,https://www.hankyung.com/article/202408130044i,https://n.news.naver.com/mnews/article/015/0005021106?sid=102
598,2024-08-13 10:25:00,"학교법인 광운학원 ·한국교육학술정보원, 업무협약 체결","이날 협약식에는 광운학원 조선영 이사장을 비롯해 광운대학교 천장호 총장, 민상원 대외부총장, 정석재 기획처장, 광운<b>인공지능</b>고등학교 김도봉 교장, 광운<b>인공지능</b>고등학교 이남경 교육과정연구부장, 광운중학교... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=2163509,http://www.enewstoday.co.kr/news/articleView.html?idxno=2163509
599,2024-08-13 10:24:00,"유진투자증권-모트에이아이, 증권업 AI 전환 위한 MOU 체결","송경재 유진투자증권 전략기획실장은 “<b>인공지능</b>을 활용한 증권 업무의 선진화는 시대적 흐름”이라며 “이번 업무협약을 바탕으로 증권 업무에 AI 도입을 앞당겨 업무의 자동화와 효율성, 그리고 고객... ",https://mydaily.co.kr/page/view/2024081310131625933,https://n.news.naver.com/mnews/article/117/0003860838?sid=103
600,2024-08-13 10:24:00,"인텔 주가 급락, 바이드노믹스 반도체 전략의 약한 고리","애덤 투즈(Adam Tooze) <b>인공지능</b>과 엔비디아, 팹 7에 대한 시장의 관심, 그리고 미국 부통령 후보와 관련된 정치적 관심이 집중되는 가운데, 지난주 인텔이 발표한 재앙적인 소식이 묻혀 버릴까 우려된다. 지난주 인텔은... ",https://newscham.net/articles/109555,https://newscham.net/articles/109555
601,2024-08-13 10:24:00,"하나은행, AI 기반으로 한 `상업용 부동산 예측모델` 개발","하나은행은 <b>인공지능</b>(AI)을 기반으로 한 상업용 부동산 시장예측 모델인 '하나AI CRP' 서비스를 개발했다고 13일 밝혔다. 하나AI CRP 서비스는 꾸준히 증가하고 있는 상업용 부동산 투자 상담시, 보다 정교하고 차별화된... ",https://www.dt.co.kr/contents.html?article_no=2024081302109963033005&ref=naver,https://n.news.naver.com/mnews/article/029/0002894853?sid=101
602,2024-08-13 10:24:00,"인텔 주가 급락, 바이드노믹스 반도체 전략의 약한 고리","애덤 투즈(Adam Tooze) <b>인공지능</b>과 엔비디아, 팹 7에 대한 시장의 관심, 그리고 미국 부통령 후보와 관련된 정치적 관심이 집중되는 가운데, 지난주 인텔이 발표한 재앙적인 소식이 묻혀 버릴까 우려된다. 지난주 인텔은... ",https://newscham.net/articles/109555,https://newscham.net/articles/109555
